subject_type,subject,relation,object_type,object,evidence,source_file
Budget,بودجه عمرانی ۱۴۰۳ - ۳ - ۱۷,FINANCES,Project,بهسازی پل صدر,ردیف بودجه عمرانی ۱۴۰۳ - ۳ - ۱۷ با مبلغ ۴۲۰ میلیارد ریال برای تأمین مالی پروژه بهسازی پل صدر تصویب شد.,data/raw/budget_allocations.txt
Budget,بودجه حمل‌ونقل ۱۴۰۳ - ۷ - ۰۹,FINANCES,Project,تعریض خیابان شریعتی,ردیف بودجه حمل‌ونقل ۱۴۰۳ - ۷ - ۰۹ با اعتبار ۸۷۰ میلیارد ریال تأمین مالی پروژه تعریض خیابان شریعتی را بر عهده دارد.,data/raw/budget_allocations.txt
Budget,بودجه بازآفرینی ۱۴۰۳ - ۲ - ۳۳,FINANCES,Project,بازآفرینی میدان صنعت,ردیف بودجه بازآفرینی ۱۴۰۳ - ۲ - ۳۳ با اعتبار ۳۱۵ میلیارد ریال برای پروژه بازآفرینی میدان صنعت اختصاص یافت.,data/raw/budget_allocations.txt
Budget,بودجه فضای سبز ۱۴۰۳ - ۵ - ۴۱,FINANCES,Project,احداث پارک خطی رودخانه کن,ردیف بودجه فضای سبز ۱۴۰۳ - ۵ - ۴۱ با مبلغ ۲۶۰ میلیارد ریال برای تأمین مالی پروژه احداث پارک خطی رودخانه کن مصوب شد.,data/raw/budget_allocations.txt
Budget,بودجه بازآفرینی ۱۴۰۳ - ۲ - ۵۸,FINANCES,Project,نوسازی بازار تجریش,ردیف بودجه بازآفرینی ۱۴۰۳ - ۲ - ۵۸ با اعتبار ۵۴۰ میلیارد ریال تأمین مالی پروژه نوسازی بازار تجریش را پوشش می‌دهد.,data/raw/budget_allocations.txt
Project,بهسازی پل صدر,LOCATED_IN,Location,منطقه ۳,پروژه بهسازی پل صدر در منطقه ۳، پروژه تعریض خیابان شریعتی در منطقه ۷ و پروژه احداث پارک خطی رودخانه کن در منطقه ۵ اجرا می‌شوند.,data/raw/budget_allocations.txt
Project,تعریض خیابان شریعتی,LOCATED_IN,Location,منطقه ۷,پروژه بهسازی پل صدر در منطقه ۳، پروژه تعریض خیابان شریعتی در منطقه ۷ و پروژه احداث پارک خطی رودخانه کن در منطقه ۵ اجرا می‌شوند.,data/raw/budget_allocations.txt
Project,احداث پارک خطی رودخانه کن,LOCATED_IN,Location,منطقه ۵,پروژه بهسازی پل صدر در منطقه ۳، پروژه تعریض خیابان شریعتی در منطقه ۷ و پروژه احداث پارک خطی رودخانه کن در منطقه ۵ اجرا می‌شوند.,data/raw/budget_allocations.txt
Complaint,شکایت شهروندان محله قیطریه,COMPLAINS_ABOUT,Project,بهسازی پل صدر,این شکایت درباره پروژه بهسازی پل صدر ثبت شد.,data/raw/complaints_137_municipality.txt
Complaint,شکایت شهروندان منطقه ۷,COMPLAINS_ABOUT,Project,تعریض خیابان شریعتی,شکایت به پروژه تعریض خیابان شریعتی ارجاع شد.,data/raw/complaints_137_municipality.txt
Complaint,شکایت شهروندان محله پونک,COMPLAINS_ABOUT,Location,پونک,این شکایت درباره محله پونک ثبت شد,data/raw/complaints_137_municipality.txt
Complaint,شکایت ساکنان منطقه ۲,COMPLAINS_ABOUT,Project,بازآفرینی میدان صنعت,موضوع شکایت، پروژه بازآفرینی میدان صنعت است.,data/raw/complaints_137_municipality.txt
Complaint,شکایت اهالی محله کن,COMPLAINS_ABOUT,Project,احداث پارک خطی رودخانه کن,این شکایت درباره پروژه احداث پارک خطی رودخانه کن ثبت شد.,data/raw/complaints_137_municipality.txt
Complaint,شکایت کسبه محله تجریش,COMPLAINS_ABOUT,Project,نوسازی بازار تجریش,موضوع شکایت، پروژه نوسازی بازار تجریش است.,data/raw/complaints_137_municipality.txt
Contractor,سازه‌پایدار البرز,EXECUTOR_OF,Project,احداث پارک خطی رودخانه کن,شهرداری منطقه ۵ تهران اجرای پروژه احداث پارک خطی رودخانه کن را به شرکت سازه‌پایدار البرز واگذار کرد.,data/raw/contract_kan_park.txt
Project,احداث پارک خطی رودخانه کن,LOCATED_IN,Location,کن,این پروژه در محله کن و حاشیه رودخانه کن قرار دارد.,data/raw/contract_kan_park.txt
Official,بهروز کاویانی,SUPERVISOR_OF,Project,احداث پارک خطی رودخانه کن,مهندس بهروز کاویانی به عنوان ناظر پروژه احداث پارک خطی رودخانه کن منصوب شد,data/raw/contract_kan_park.txt
Budget,فضای سبز ۱۴۰۳ - ۵ - ۴۱,FINANCES,Project,احداث پارک خطی رودخانه کن,ردیف بودجه فضای سبز ۱۴۰۳ - ۵ - ۴۱ با مبلغ ۲۶۰ میلیارد ریال تأمین مالی پروژه احداث پارک خطی رودخانه کن را بر عهده دارد.,data/raw/contract_kan_park.txt
